text,start0,text0,label0,start1,text1,label1,start2,text2,label2,start3,text3,label3,start4,text4,label4,start5,text5,label5,start6,text6,label6,start7,text7,label7,start8,text8,label8,start9,text9,label9
Salesforce is investing in AI-driven CRM tools.,0,Sal,ORG,21,ng in AI-driven CR,FIELD,,,,,,,,,,,,,,,,,,,,,,,,
Nvidia surpassed a market cap of $1 trillion.,0,Nvidi,ORG,19,market c,PRODUCT,,,,,,,,,,,,,,,,,,,,,,,,
OpenAI introduced GPT-5 with enhanced reasoning.,0,OpenA,ORG,14,ced GPT-5 ,MONEY,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft acquired GitHub for $7.5 billion.,0,Micro,ORG,14,ired GitHub for $7.5 bill,TECH,,,,,,,,,,,,,,,,,,,,,,,,
Netflix signed a deal with Warner Bros.,0,Netf,ORG,23,ith Warner,PRODUCT,,,,,,,,,,,,,,,,,,,,,,,,
Apple invested $2 billion in AI research.,0,Apple,ORG,22,ion in AI researc,PRODUCT,,,,,,,,,,,,,,,,,,,,,,,,
Google launched Gemini AI to compete with ChatGPT.,0,Goog,ORG,25, to ,DATE,,,,,,,,,,,,,,,,,,,,,,,,
SpaceX successfully launched Starship.,0,SpaceX,ORG,14,fully lau,PRODUCT,,,,,,,,,,,,,,,,,,,,,,,,
Uber is testing autonomous delivery services.,0,Uber i,ORG,19,onomous delivery serv,TECH,,,,,,,,,,,,,,,,,,,,,,,,
Samsung unveiled the Galaxy Z Flip 5.,0,Samsun,ORG,18,he G,PRODUCT,,,,,,,,,,,,,,,,,,,,,,,,
NASA is planning a Mars mission by 2030.,0,NASA,ORG,16, a Mars mission by 2030.,TECH,,,,,,,,,,,,,,,,,,,,,,,,
Amazon's revenue hit $500 billion last year.,0,Amazon,ORG,21,$500 billion,MONEY,,,,,,,,,,,,,,,,,,,,,,,,
IBM is investing heavily in quantum computing.,0,IBM is ,ORG,11,sting heavil,MONEY,,,,,,,,,,,,,,,,,,,,,,,,
Siemens is developing smart factory solutions.,0,Siemens,ORG,17,ping smart factory solutions,TECH,,,,,,,,,,,,,,,,,,,,,,,,
Adobe acquired Figma for $20 billion.,0,Adobe a,ORG,17,gma for $20 bil,PRODUCT,,,,,,,,,,,,,,,,,,,,,,,,
Oracle is expanding its cloud services.,0,Oracle ,ORG,19, its cloud se,ORG,,,,,,,,,,,,,,,,,,,,,,,,
Meta is building a next-gen VR headset.,0,Meta is b,ORG,26,n VR headset,MONEY,,,,,,,,,,,,,,,,,,,,,,,,
Intel released its 14th-gen Core processors.,0,Intel rel,ORG,14, its 14th-gen Core pro,TECH,,,,,,,,,,,,,,,,,,,,,,,,
Spotify hit 500 million monthly active users.,0,Spotif,ORG,28,hly active ,MONEY,,,,,,,,,,,,,,,,,,,,,,,,
Tesla announced its new self-driving technology.,0,Tesla,ORG,22,w self-driv,MONEY,,,,,,,,,,,,,,,,,,,,,,,,
Salesforce is investing in AI-driven CRM tools.,0,Sal,ORG,21,ng in AI-driven CR,FIELD,,,,,,,,,,,,,,,,,,,,,,,,
Nvidia surpassed a market cap of $1 trillion.,0,Nvidi,ORG,19,market c,PRODUCT,,,,,,,,,,,,,,,,,,,,,,,,
OpenAI introduced GPT-5 with enhanced reasoning.,0,OpenA,ORG,14,ced GPT-5 ,MONEY,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft acquired GitHub for $7.5 billion.,0,Micro,ORG,14,ired GitHub for $7.5 bill,TECH,,,,,,,,,,,,,,,,,,,,,,,,
Netflix signed a deal with Warner Bros.,0,Netf,ORG,23,ith Warner,PRODUCT,,,,,,,,,,,,,,,,,,,,,,,,
Apple invested $2 billion in AI research.,0,Apple,ORG,22,ion in AI researc,PRODUCT,,,,,,,,,,,,,,,,,,,,,,,,
Google launched Gemini AI to compete with ChatGPT.,0,Goog,ORG,25, to ,DATE,,,,,,,,,,,,,,,,,,,,,,,,
SpaceX successfully launched Starship.,0,SpaceX,ORG,14,fully lau,PRODUCT,,,,,,,,,,,,,,,,,,,,,,,,
Uber is testing autonomous delivery services.,0,Uber i,ORG,19,onomous delivery serv,TECH,,,,,,,,,,,,,,,,,,,,,,,,
Samsung unveiled the Galaxy Z Flip 5.,0,Samsun,ORG,18,he G,PRODUCT,,,,,,,,,,,,,,,,,,,,,,,,
NASA is planning a Mars mission by 2030.,0,NASA,ORG,16, a Mars mission by 2030.,TECH,,,,,,,,,,,,,,,,,,,,,,,,
Amazon's revenue hit $500 billion last year.,0,Amazon,ORG,21,$500 billion,MONEY,,,,,,,,,,,,,,,,,,,,,,,,
IBM is investing heavily in quantum computing.,0,IBM is ,ORG,11,sting heavil,MONEY,,,,,,,,,,,,,,,,,,,,,,,,
Siemens is developing smart factory solutions.,0,Siemens,ORG,17,ping smart factory solutions,TECH,,,,,,,,,,,,,,,,,,,,,,,,
Adobe acquired Figma for $20 billion.,0,Adobe a,ORG,17,gma for $20 bil,PRODUCT,,,,,,,,,,,,,,,,,,,,,,,,
Oracle is expanding its cloud services.,0,Oracle ,ORG,19, its cloud se,ORG,,,,,,,,,,,,,,,,,,,,,,,,
Meta is building a next-gen VR headset.,0,Meta is b,ORG,26,n VR headset,MONEY,,,,,,,,,,,,,,,,,,,,,,,,
Intel released its 14th-gen Core processors.,0,Intel rel,ORG,14, its 14th-gen Core pro,TECH,,,,,,,,,,,,,,,,,,,,,,,,
Spotify hit 500 million monthly active users.,0,Spotif,ORG,28,hly active ,MONEY,,,,,,,,,,,,,,,,,,,,,,,,
Tesla announced its new self-driving technology.,0,Tesla,ORG,22,w self-driv,MONEY,,,,,,,,,,,,,,,,,,,,,,,,
Salesforce is investing in AI-driven CRM tools.,0,Sal,ORG,21,ng in AI-driven CR,FIELD,,,,,,,,,,,,,,,,,,,,,,,,
Nvidia surpassed a market cap of $1 trillion.,0,Nvidi,ORG,19,market c,PRODUCT,,,,,,,,,,,,,,,,,,,,,,,,
OpenAI introduced GPT-5 with enhanced reasoning.,0,OpenA,ORG,14,ced GPT-5 ,MONEY,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft acquired GitHub for $7.5 billion.,0,Micro,ORG,14,ired GitHub for $7.5 bill,TECH,,,,,,,,,,,,,,,,,,,,,,,,
Netflix signed a deal with Warner Bros.,0,Netf,ORG,23,ith Warner,PRODUCT,,,,,,,,,,,,,,,,,,,,,,,,
Apple invested $2 billion in AI research.,0,Apple,ORG,22,ion in AI researc,PRODUCT,,,,,,,,,,,,,,,,,,,,,,,,
Google launched Gemini AI to compete with ChatGPT.,0,Goog,ORG,25, to ,DATE,,,,,,,,,,,,,,,,,,,,,,,,
SpaceX successfully launched Starship.,0,SpaceX,ORG,14,fully lau,PRODUCT,,,,,,,,,,,,,,,,,,,,,,,,
Uber is testing autonomous delivery services.,0,Uber i,ORG,19,onomous delivery serv,TECH,,,,,,,,,,,,,,,,,,,,,,,,
Samsung unveiled the Galaxy Z Flip 5.,0,Samsun,ORG,18,he G,PRODUCT,,,,,,,,,,,,,,,,,,,,,,,,
NASA is planning a Mars mission by 2030.,0,NASA,ORG,16, a Mars mission by 2030.,TECH,,,,,,,,,,,,,,,,,,,,,,,,
Amazon's revenue hit $500 billion last year.,0,Amazon,ORG,21,$500 billion,MONEY,,,,,,,,,,,,,,,,,,,,,,,,
IBM is investing heavily in quantum computing.,0,IBM is ,ORG,11,sting heavil,MONEY,,,,,,,,,,,,,,,,,,,,,,,,
Siemens is developing smart factory solutions.,0,Siemens,ORG,17,ping smart factory solutions,TECH,,,,,,,,,,,,,,,,,,,,,,,,
Adobe acquired Figma for $20 billion.,0,Adobe a,ORG,17,gma for $20 bil,PRODUCT,,,,,,,,,,,,,,,,,,,,,,,,
Oracle is expanding its cloud services.,0,Oracle ,ORG,19, its cloud se,ORG,,,,,,,,,,,,,,,,,,,,,,,,
Meta is building a next-gen VR headset.,0,Meta is b,ORG,26,n VR headset,MONEY,,,,,,,,,,,,,,,,,,,,,,,,
Intel released its 14th-gen Core processors.,0,Intel rel,ORG,14, its 14th-gen Core pro,TECH,,,,,,,,,,,,,,,,,,,,,,,,
Spotify hit 500 million monthly active users.,0,Spotif,ORG,28,hly active ,MONEY,,,,,,,,,,,,,,,,,,,,,,,,
Tesla announced its new self-driving technology.,0,Tesla,ORG,22,w self-driv,MONEY,,,,,,,,,,,,,,,,,,,,,,,,
Salesforce is investing in AI-driven CRM tools.,0,Sal,ORG,21,ng in AI-driven CR,FIELD,,,,,,,,,,,,,,,,,,,,,,,,
Nvidia surpassed a market cap of $1 trillion.,0,Nvidi,ORG,19,market c,PRODUCT,,,,,,,,,,,,,,,,,,,,,,,,
OpenAI introduced GPT-5 with enhanced reasoning.,0,OpenA,ORG,14,ced GPT-5 ,MONEY,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft acquired GitHub for $7.5 billion.,0,Micro,ORG,14,ired GitHub for $7.5 bill,TECH,,,,,,,,,,,,,,,,,,,,,,,,
Netflix signed a deal with Warner Bros.,0,Netf,ORG,23,ith Warner,PRODUCT,,,,,,,,,,,,,,,,,,,,,,,,
Apple invested $2 billion in AI research.,0,Apple,ORG,22,ion in AI researc,PRODUCT,,,,,,,,,,,,,,,,,,,,,,,,
Google launched Gemini AI to compete with ChatGPT.,0,Goog,ORG,25, to ,DATE,,,,,,,,,,,,,,,,,,,,,,,,
SpaceX successfully launched Starship.,0,SpaceX,ORG,14,fully lau,PRODUCT,,,,,,,,,,,,,,,,,,,,,,,,
Uber is testing autonomous delivery services.,0,Uber i,ORG,19,onomous delivery serv,TECH,,,,,,,,,,,,,,,,,,,,,,,,
Samsung unveiled the Galaxy Z Flip 5.,0,Samsun,ORG,18,he G,PRODUCT,,,,,,,,,,,,,,,,,,,,,,,,
NASA is planning a Mars mission by 2030.,0,NASA,ORG,16, a Mars mission by 2030.,TECH,,,,,,,,,,,,,,,,,,,,,,,,
Amazon's revenue hit $500 billion last year.,0,Amazon,ORG,21,$500 billion,MONEY,,,,,,,,,,,,,,,,,,,,,,,,
IBM is investing heavily in quantum computing.,0,IBM is ,ORG,11,sting heavil,MONEY,,,,,,,,,,,,,,,,,,,,,,,,
Siemens is developing smart factory solutions.,0,Siemens,ORG,17,ping smart factory solutions,TECH,,,,,,,,,,,,,,,,,,,,,,,,
Adobe acquired Figma for $20 billion.,0,Adobe a,ORG,17,gma for $20 bil,PRODUCT,,,,,,,,,,,,,,,,,,,,,,,,
Oracle is expanding its cloud services.,0,Oracle ,ORG,19, its cloud se,ORG,,,,,,,,,,,,,,,,,,,,,,,,
Meta is building a next-gen VR headset.,0,Meta is b,ORG,26,n VR headset,MONEY,,,,,,,,,,,,,,,,,,,,,,,,
Intel released its 14th-gen Core processors.,0,Intel rel,ORG,14, its 14th-gen Core pro,TECH,,,,,,,,,,,,,,,,,,,,,,,,
Spotify hit 500 million monthly active users.,0,Spotif,ORG,28,hly active ,MONEY,,,,,,,,,,,,,,,,,,,,,,,,
Tesla announced its new self-driving technology.,0,Tesla,ORG,22,w self-driv,MONEY,,,,,,,,,,,,,,,,,,,,,,,,
Salesforce is investing in AI-driven CRM tools.,0,Sal,ORG,21,ng in AI-driven CR,FIELD,,,,,,,,,,,,,,,,,,,,,,,,
Nvidia surpassed a market cap of $1 trillion.,0,Nvidi,ORG,19,market c,PRODUCT,,,,,,,,,,,,,,,,,,,,,,,,
OpenAI introduced GPT-5 with enhanced reasoning.,0,OpenA,ORG,14,ced GPT-5 ,MONEY,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft acquired GitHub for $7.5 billion.,0,Micro,ORG,14,ired GitHub for $7.5 bill,TECH,,,,,,,,,,,,,,,,,,,,,,,,
Netflix signed a deal with Warner Bros.,0,Netf,ORG,23,ith Warner,PRODUCT,,,,,,,,,,,,,,,,,,,,,,,,
Apple invested $2 billion in AI research.,0,Apple,ORG,22,ion in AI researc,PRODUCT,,,,,,,,,,,,,,,,,,,,,,,,
Google launched Gemini AI to compete with ChatGPT.,0,Goog,ORG,25, to ,DATE,,,,,,,,,,,,,,,,,,,,,,,,
SpaceX successfully launched Starship.,0,SpaceX,ORG,14,fully lau,PRODUCT,,,,,,,,,,,,,,,,,,,,,,,,
Uber is testing autonomous delivery services.,0,Uber i,ORG,19,onomous delivery serv,TECH,,,,,,,,,,,,,,,,,,,,,,,,
Samsung unveiled the Galaxy Z Flip 5.,0,Samsun,ORG,18,he G,PRODUCT,,,,,,,,,,,,,,,,,,,,,,,,
NASA is planning a Mars mission by 2030.,0,NASA,ORG,16, a Mars mission by 2030.,TECH,,,,,,,,,,,,,,,,,,,,,,,,
Amazon's revenue hit $500 billion last year.,0,Amazon,ORG,21,$500 billion,MONEY,,,,,,,,,,,,,,,,,,,,,,,,
IBM is investing heavily in quantum computing.,0,IBM is ,ORG,11,sting heavil,MONEY,,,,,,,,,,,,,,,,,,,,,,,,
Siemens is developing smart factory solutions.,0,Siemens,ORG,17,ping smart factory solutions,TECH,,,,,,,,,,,,,,,,,,,,,,,,
Adobe acquired Figma for $20 billion.,0,Adobe a,ORG,17,gma for $20 bil,PRODUCT,,,,,,,,,,,,,,,,,,,,,,,,
Oracle is expanding its cloud services.,0,Oracle ,ORG,19, its cloud se,ORG,,,,,,,,,,,,,,,,,,,,,,,,
Meta is building a next-gen VR headset.,0,Meta is b,ORG,26,n VR headset,MONEY,,,,,,,,,,,,,,,,,,,,,,,,
Intel released its 14th-gen Core processors.,0,Intel rel,ORG,14, its 14th-gen Core pro,TECH,,,,,,,,,,,,,,,,,,,,,,,,
Spotify hit 500 million monthly active users.,0,Spotif,ORG,28,hly active ,MONEY,,,,,,,,,,,,,,,,,,,,,,,,
Tesla announced its new self-driving technology.,0,Tesla,ORG,22,w self-driv,MONEY,,,,,,,,,,,,,,,,,,,,,,,,
